"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-01-28","14:30:00",6964.44,"17 Jan 28 7000 C STO 1.70 | 17 Jan 28 7070 C BTO 0.10",148,6978.62,"2026-01-28","14:31:00",325,"Stop Loss",-3094,-122.97297297297298,17,1487909.94,116484,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,42.5,17,70,16.72,16.47,23.4,-37.56,0,-133.11
"2026-01-28","13:00:00",6971.71,"18 Jan 28 6920 P STO 2.35 | 18 Jan 28 6820 P BTO 0.20",201,6978.03,"2026-01-28","16:00:00",0,"Expired",3573,98.75621890547264,18,1499098.94,176382,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,0,11.75,1,16.98,16.55,23.4,-30.29,100,-19.4
"2026-01-28","11:31:00",6980.75,"23 Jan 28 7015 C STO 2.45 | 23 Jan 28 7055 C BTO 0.20",215,6978.03,"2026-01-28","16:00:00",0,"Expired",4887.5,98.83720930232558,23,1492797.44,87055,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",57.5,0,12.25,1,16.91,16.55,23.4,-21.25,100,0
"2026-01-27","14:30:00",6985.2,"18 Jan 27 6985 P STO 3.15 | 18 Jan 27 6885 P BTO 0.10",291,6980.28,"2026-01-27","15:56:00",620,"Stop Loss",-6012,-114.77663230240549,18,1507475.38,174762,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,45,31.5,95,16.05,16.26,15.73,19.24,36.43,-123.37
"2026-01-27","13:00:00",6977.55,"17 Jan 27 6985 C STO 2.10 | 17 Jan 27 7055 C BTO 0.05",193,6984.22,"2026-01-27","13:34:00",420,"Stop Loss",-3944,-120.20725388601036,17,1513487.38,115719,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,42.5,42,75,16.18,15.99,15.73,11.59,32.64,-112.44
"2026-01-27","11:15:00",6986.02,"16 Jan 27 7010 C STO 0.40 | 16 Jan 27 7010 P STO 25.00 | 16 Jan 27 7040 C BTO 0.10 | 16 Jan 27 6980 P BTO 4.55",2070,6978.6,"2026-01-27","16:00:00",3000,"Expired",-14960,-45.169082125603865,16,1492515.38,14880,"Mid Day Butterfly [PUTs + CALLs / no Mondays] ",80,0,5.462,29.714,15.8,16.2,15.73,20.06,6.76,-44.93
"2026-01-27","10:32:00",6973.22,"17 Jan 27 6955 P BTO 3.15 | 17 Jan 27 6975 C BTO 6.85 | 17 Jan 27 7010 C STO 0.25 | 17 Jan 27 6920 P STO 1.05",-880,6978.6,"2026-01-27","16:00:00",-360,"Expired",-8961.04,-59.9,17,1483554.34,14960,"OO RIC",121.04,0,0.13,0.026,15.96,16.2,15.73,7.26,76.14,-59.09
"2026-01-26","14:30:00",6961.77,"24 Jan 28 6900 P STO 7.85 | 24 Jan 28 7015 C STO 3.35 | 24 Jan 30 6900 P BTO 20.45 | 24 Jan 30 7015 C BTO 15.50",-2485,7000.57,"2026-01-28","09:45:00",-2805,"Exited at Specified Time",7449.6,12.490945674044267,24,1491003.94,59640,"Monday 2/4 DC",115.2,115.2,0.312,0.211,15.86,16.45,7.62,38.54,15.29,-0.6
"2026-01-26","14:30:00",6961.77,"18 Jan 26 6960 P STO 3.05 | 18 Jan 26 6860 P BTO 0.20",271,6953.27,"2026-01-26","15:55:00",575,"Stop Loss",-5562,-114.02214022140222,18,1517431.38,175122,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,45,15.25,112,15.86,16.1,7.62,38.54,39.11,-160.15
"2026-01-26","13:00:00",6956.11,"17 Jan 26 6965 C STO 1.65 | 17 Jan 26 7035 C BTO 0.05",148,6961.15,"2026-01-26","13:30:00",325,"Stop Loss",-3094,-122.97297297297298,17,1522993.38,116484,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,42.5,33,61,15.99,15.93,7.62,32.88,32.43,-129.73
"2026-01-23","15:09:00",6912.26,"57 Jan 29 6830 P STO 19.00 | 57 Jan 29 6980 C STO 13.40 | 57 Jan 30 6830 P BTO 24.10 | 57 Jan 30 6980 C BTO 19.00",-1075,6953.42,"2026-01-29","09:57:00",-1418.6842105263158,"Multiple Reasons",19020,31.040391676866584,57,1518118.94,61275,"Friday 6/7 DC [TEST]",285,285,0.752,0.314,15.78,18.04,-5.5,4.41,47.44,-5.58
"2026-01-23","14:45:00",6917.92,"18 Jan 23 6925 C STO 2.00 | 18 Jan 23 6995 C BTO 0.05",183,6915.61,"2026-01-23","16:00:00",0,"Expired",3249,98.63387978142076,18,1540887.38,122706,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,40,1,15.54,15.78,-5.5,10.07,100,-9.29
"2026-01-23","14:30:00",6919.08,"19 Jan 23 6910 P STO 2.80 | 19 Jan 23 6810 P BTO 0.10",256,6911.26,"2026-01-23","15:12:00",545,"Stop Loss",-5586,-114.84375,19,1537638.38,185136,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,28,81,15.54,15.8,-5.5,11.23,25.78,-140.23
"2026-01-23","13:00:00",6903.01,"18 Jan 23 6925 C STO 1.70 | 18 Jan 23 6995 C BTO 0.05",153,6919.69,"2026-01-23","14:07:00",335,"Stop Loss",-3366,-122.22222222222223,18,1543224.38,123246,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,34,63,15.95,15.52,-5.5,-4.84,15.03,-132.03
"2026-01-23","11:15:00",6929.15,"16 Jan 23 6955 C STO 1.00 | 16 Jan 23 6955 P STO 27.00 | 16 Jan 23 6985 C BTO 0.20 | 16 Jan 23 6925 P BTO 6.95",2080,6915.61,"2026-01-23","16:00:00",3000,"Expired",-14800,-44.47115384615385,16,1526087.38,14720,"Mid Day Butterfly [PUTs + CALLs / no Mondays] ",80,0,3.916,4.067,15.33,15.78,-5.5,21.3,5.29,-45.19
"2026-01-22","14:45:00",6921.01,"18 Jan 22 6930 C STO 1.50 | 18 Jan 22 7000 C BTO 0.05",133,6913.35,"2026-01-22","16:00:00",0,"Expired",2349,98.1203007518797,18,1562361.58,123606,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,30,1,15.51,15.61,38.82,6.57,100,-1.5
"2026-01-22","14:30:00",6930.14,"19 Jan 22 6925 P STO 2.65 | 19 Jan 22 6825 P BTO 0.10",241,6924.54,"2026-01-22","14:39:00",515,"Stop Loss",-5301,-115.7676348547718,19,1560012.58,185421,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,26.5,50.5,15.33,15.44,38.82,15.7,0,-111.62
"2026-01-22","13:00:00",6933.51,"19 Jan 22 6920 P STO 2.65 | 19 Jan 22 6820 P BTO 0.20",231,6922.32,"2026-01-22","13:59:00",495,"Stop Loss",-5111,-116.45021645021644,19,1565313.58,185611,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,13.25,33,15.36,15.55,38.82,19.07,6.93,-116.45
"2026-01-22","10:45:00",6915.7,"10 Jan 22 6900 P BTO 6.30 | 10 Jan 22 6915 C BTO 12.25 | 10 Jan 22 6950 C STO 1.30 | 10 Jan 22 6865 P STO 1.65",-1570,6913.35,"2026-01-22","16:00:00",0,"Expired",-15771.2,-100.45350318471338,10,1546590.38,15700,"OO RIC",71.2,0,0.159,1,15.76,15.61,38.82,1.26,31.85,-100
"2026-01-21","14:30:00",6867.66,"19 Jan 21 6845 P STO 2.80 | 19 Jan 21 6745 P BTO 0.10",256,6875.62,"2026-01-21","16:00:00",0,"Expired",4816.5,99.0234375,19,1566195.66,185136,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,28,1,17.47,17.02,13.85,56.95,100,0
"2026-01-21","13:00:00",6829.45,"19 Jan 21 6800 P STO 2.70 | 19 Jan 21 6700 P BTO 0.15",241,6813.3,"2026-01-21","13:03:00",515,"Stop Loss",-5301,-115.7676348547718,19,1561379.16,185421,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,18,37.75,18.8,19.43,13.85,18.74,0,-207.05
"2026-01-21","12:13:00",6810.08,"24 Jan 21 6845 C STO 2.40 | 24 Jan 21 6885 C BTO 0.15",215,6831.97,"2026-01-21","12:59:00",507,"Stop Loss",-7128,-138.13953488372093,24,1566680.16,90840,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",60,60,16,17.333,19.24,18.73,13.85,-0.63,9.3,-146.51
"2026-01-21","10:30:00",6853.41,"9 Jan 21 6835 P BTO 7.00 | 9 Jan 21 6855 C BTO 12.15 | 9 Jan 21 6890 C STO 1.15 | 9 Jan 21 6800 P STO 2.25",-1585,6875.62,"2026-01-21","16:00:00",-2062,"Expired",4228.92,29.645425867507885,9,1570424.58,14265,"OO RIC",64.08,0,0.178,0.005,17.71,17.02,13.85,42.7,107.89,-48.26
"2026-01-16","14:30:00",6944.75,"18 Jan 16 6955 C STO 1.35 | 18 Jan 16 7025 C BTO 0.05",118,6950.71,"2026-01-16","14:39:00",260,"Stop Loss",-2646,-124.57627118644068,18,1573808.16,123876,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,27,54,15.62,15.49,16.07,-15.79,0,-124.58
"2026-01-16","13:00:00",6942.85,"18 Jan 16 6960 C STO 1.50 | 18 Jan 16 7030 C BTO 0.05",133,6953.38,"2026-01-16","13:18:00",290,"Stop Loss",-2916,-121.80451127819549,18,1576454.16,123606,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,30,61,15.79,15.49,16.07,-17.69,0,-133.08
"2026-01-15","14:45:00",6958.93,"18 Jan 15 6970 C STO 1.55 | 18 Jan 15 7040 C BTO 0.05",138,6944.47,"2026-01-15","16:00:00",0,"Expired",2439,98.18840579710145,18,1576391.16,123516,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,31,1,15.56,15.8,42.86,-10.53,100,-23.19
"2026-01-15","14:30:00",6960.88,"18 Jan 15 6970 C STO 1.85 | 18 Jan 15 7040 C BTO 0.05",168,6944.47,"2026-01-15","16:00:00",0,"Expired",2979,98.51190476190477,18,1579370.16,122976,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,37,1,15.55,15.8,42.86,-8.58,100,-13.1
"2026-01-15","13:00:00",6964.5,"18 Jan 15 6980 C STO 1.45 | 18 Jan 15 7050 C BTO 0.05",128,6974.62,"2026-01-15","13:32:00",280,"Stop Loss",-2826,-122.65625,18,1583402.48,123696,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,29,55,15.47,15.35,42.86,-4.96,0,-157.81
"2026-01-15","10:31:00",6967.12,"11 Jan 15 6950 P BTO 4.50 | 11 Jan 15 6965 C BTO 11.20 | 11 Jan 15 7000 C STO 0.60 | 11 Jan 15 6915 P STO 1.15",-1405,6944.47,"2026-01-15","16:00:00",-553,"Expired",-9450.32,-61.1473309608541,11,1573952.16,15455,"OO RIC",78.32,0,0.111,0.019,15.58,15.8,42.86,-2.34,18.15,-66.55
"2026-01-14","14:30:00",6905.32,"19 Jan 14 6895 P STO 2.20 | 19 Jan 14 6795 P BTO 0.05",201,6899.52,"2026-01-14","15:02:00",430,"Stop Loss",-4446,-116.4179104477612,19,1583778.48,186181,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,44,72,17.35,17.48,-26.33,-32.09,42.79,-131.34
"2026-01-14","13:00:00",6890.6,"18 Jan 14 6915 C STO 1.60 | 18 Jan 14 6985 C BTO 0.10",138,6899.91,"2026-01-14","13:31:00",300,"Stop Loss",-3006,-121.01449275362319,18,1588224.48,123516,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,16,23.5,17.77,17.51,-26.33,-46.81,0,-113.77
"2026-01-14","11:43:00",6901.66,"25 Jan 14 6925 C STO 2.65 | 25 Jan 14 6965 C BTO 0.20",235,6906.94,"2026-01-14","15:03:00",132,"Stop Loss",2450,41.702127659574465,25,1586228.48,94125,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",62.5,62.5,13.25,16,17.6,17.18,-26.33,-35.75,91.49,-8.51
"2026-01-13","14:30:00",6955.1,"18 Jan 13 6965 C STO 1.30 | 18 Jan 13 7035 C BTO 0.05",113,6963.74,"2026-01-13","16:00:00",0,"Expired",1989,97.78761061946902,18,1582275.48,123966,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,26,1,16.1,15.97,0.14,-22.31,100,-23.89
"2026-01-13","13:00:00",6954.24,"18 Jan 13 6970 C STO 2.05 | 18 Jan 13 7040 C BTO 0.05",188,6963.74,"2026-01-13","16:00:00",0,"Expired",3339,98.67021276595744,18,1585614.48,122616,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,41,1,15.87,15.97,0.14,-23.17,100,-32.98
"2026-01-12","14:30:00",6978.89,"40 Jan 14 6920 P STO 7.25 | 40 Jan 14 7030 C STO 4.20 | 40 Jan 16 6920 P BTO 14.65 | 40 Jan 16 7030 C BTO 12.25",-1555,6920.19,"2026-01-14","09:45:00",-1705,"Exited at Specified Time",5616,9.028938906752412,40,1591230.48,62200,"Monday 2/4 DC",192,192,0.426,0.525,15.06,17.62,-22.16,34.77,15.76,-6.11
"2026-01-12","14:30:00",6978.89,"19 Jan 12 6975 P STO 1.90 | 19 Jan 12 6875 P BTO 0.10",166,6977.27,"2026-01-12","16:00:00",0,"Expired",3106.5,98.49397590361446,19,1576229.98,186846,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,19,1,15.06,15.09,-22.16,34.77,100,-23.49
"2026-01-12","13:00:00",6972.02,"19 Jan 12 6965 P STO 2.50 | 19 Jan 12 6865 P BTO 0.20",216,6977.27,"2026-01-12","16:00:00",0,"Expired",4056.5,98.8425925925926,19,1580286.48,185896,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,12.5,1,15.14,15.09,-22.16,27.9,100,-8.8
"2026-01-09","14:30:00",6974.07,"19 Jan 9 6970 P STO 2.25 | 19 Jan 9 6870 P BTO 0.05",206,6965.73,"2026-01-09","16:00:00",440,"Stop Loss",-4541,-116.01941747572815,19,1573123.48,186086,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,45,79,14.63,14.52,6.37,46.24,73.3,-166.99
"2026-01-09","13:00:00",6965.86,"19 Jan 9 6955 P STO 2.90 | 19 Jan 9 6855 P BTO 0.15",261,6966.28,"2026-01-09","16:00:00",0,"Expired",4911.5,99.04214559386973,19,1579235.68,185041,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,19.333,1,14.6,14.52,6.37,38.03,100,-49.43
"2026-01-09","11:15:00",6960.62,"15 Jan 9 6985 C STO 1.15 | 15 Jan 9 6985 P STO 26.15 | 15 Jan 9 7015 C BTO 0.15 | 15 Jan 9 6955 P BTO 7.15",1995,6966.28,"2026-01-09","16:00:00",1872,"Expired",1770,5.9147869674185465,15,1581005.68,15075,"Mid Day Butterfly [PUTs + CALLs / no Mondays] ",75,0,3.74,187.5,14.75,14.52,6.37,32.79,58.15,-18.8
"2026-01-09","10:30:00",6957.03,"10 Jan 9 6940 P BTO 5.35 | 10 Jan 9 6955 C BTO 11.55 | 10 Jan 9 6990 C STO 0.95 | 10 Jan 9 6905 P STO 1.50",-1455,6966.28,"2026-01-09","16:00:00",-1128,"Expired",-3341.2,-22.963573883161512,10,1577664.48,14550,"OO RIC",71.2,0,0.145,0.009,14.9,14.52,6.37,29.2,54.64,-31.96
"2026-01-08","14:45:00",6912.83,"18 Jan 8 6920 C STO 1.95 | 18 Jan 8 6990 C BTO 0.05",178,6920.47,"2026-01-08","15:28:00",385,"Stop Loss",-3816,-119.10112359550563,18,1577150.18,122796,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,39,72,15.63,15.47,-6.82,-1.28,15.73,-119.1
"2026-01-08","14:30:00",6915.15,"18 Jan 8 6925 C STO 1.45 | 18 Jan 8 6995 C BTO 0.05",128,6922.93,"2026-01-08","15:31:00",280,"Stop Loss",-2826,-122.65625,18,1574324.18,123696,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,29,52,15.56,15.42,-6.82,1.04,57.03,-130.47
"2026-01-08","13:00:00",6926.34,"19 Jan 8 6910 P STO 2.35 | 19 Jan 8 6810 P BTO 0.15",206,6918.94,"2026-01-08","13:12:00",440,"Stop Loss",-4541,-116.01941747572815,19,1580966.18,186086,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,47.5,15.667,28,15.25,15.44,-6.82,12.23,2.91,-128.16
"2026-01-07","14:45:00",6945.26,"18 Jan 7 6950 C STO 1.85 | 18 Jan 7 7020 C BTO 0.05",168,6920.93,"2026-01-07","16:00:00",0,"Expired",2979,98.51190476190477,18,1582888.18,122976,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,37,1,14.99,15.36,0.25,0.19,100,-4.17
"2026-01-07","14:30:00",6942.53,"18 Jan 7 6950 C STO 1.65 | 18 Jan 7 7020 C BTO 0.05",148,6920.93,"2026-01-07","16:00:00",0,"Expired",2619,98.3108108108108,18,1585507.18,123336,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,33,1,15.01,15.36,0.25,-2.54,100,-68.92
"2026-01-07","13:00:00",6955.96,"18 Jan 7 6965 C STO 1.70 | 18 Jan 7 7035 C BTO 0.05",153,6920.93,"2026-01-07","16:00:00",0,"Expired",2709,98.36601307189542,18,1579909.18,123246,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,34,1,15,15.36,0.25,10.89,100,-1.31
"2026-01-06","14:30:00",6945.42,"19 Jan 6 6940 P STO 1.80 | 19 Jan 6 6840 P BTO 0.10",156,6944.82,"2026-01-06","16:00:00",0,"Expired",2916.5,98.3974358974359,19,1564070.48,187036,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,18,1,14.8,14.73,5.98,37.39,100,-5.77
"2026-01-06","13:00:00",6935.51,"19 Jan 6 6930 P STO 3.00 | 19 Jan 6 6830 P BTO 0.10",276,6944.82,"2026-01-06","16:00:00",0,"Expired",5196.5,99.09420289855072,19,1569266.98,184756,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,30,1,14.84,14.73,5.98,27.48,100,-37.68
"2026-01-05","14:45:00",6902.79,"18 Jan 5 6910 C STO 1.25 | 18 Jan 5 6980 C BTO 0.05",108,6908.16,"2026-01-05","15:13:00",240,"Stop Loss",-2466,-126.85185185185186,18,1554565.98,124056,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,45,25,46,14.93,14.95,33.72,10.6,30.56,-126.85
"2026-01-05","14:30:00",6908.32,"33 Jan 7 6860 P STO 6.60 | 33 Jan 7 6955 C STO 2.80 | 33 Jan 9 6860 P BTO 15.50 | 33 Jan 9 6955 C BTO 12.50",-1870,6954.14,"2026-01-07","09:45:00",-2120,"Exited at Specified Time",7933.2,12.855614973262034,33,1577200.18,61710,"Monday 2/4 DC",158.4,158.4,0.336,0.314,14.82,15,33.72,16.13,27.27,-2.14
"2026-01-05","14:30:00",6908.32,"18 Jan 5 6910 C STO 2.50 | 18 Jan 5 6980 C BTO 0.05",233,6902.05,"2026-01-05","16:00:00",0,"Expired",4149,98.92703862660944,18,1558714.98,121806,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,50,1,14.82,14.91,33.72,16.13,100,-18.03
"2026-01-05","13:00:00",6911.96,"18 Jan 5 6920 C STO 1.55 | 18 Jan 5 6990 C BTO 0.05",138,6902.05,"2026-01-05","16:00:00",0,"Expired",2439,98.18840579710145,18,1561153.98,123516,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",45,0,31,1,14.8,14.91,33.72,19.77,100,-26.81
"2026-01-02","14:30:00",6855.09,"19 Jan 2 6845 P STO 2.70 | 19 Jan 2 6745 P BTO 0.05",251,6858.47,"2026-01-02","16:00:00",0,"Expired",4721.5,99.00398406374502,19,1557031.98,185231,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",47.5,0,54,1,14.61,14.59,32.61,-23.02,100,0
"2026-01-02","11:33:00",6842.05,"24 Jan 2 6865 C STO 2.40 | 24 Jan 2 6905 C BTO 0.20",210,6840.47,"2026-01-02","14:06:00",72,"Stop Loss",3192,63.33333333333333,24,1552310.48,90960,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",60,60,12,6,15.06,14.88,32.61,-36.06,95.24,-83.33
"2025-12-31","14:45:00",6872.83,"17 Dec 31 6885 C STO 1.70 | 17 Dec 31 6955 C BTO 0.05",153,6845.5,"2025-12-31","16:00:00",0,"Expired",2558.5,98.36601307189542,17,1542229.98,116399,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,0,34,1,14.63,15.04,2.58,-25.99,100,-4.58
"2025-12-31","14:30:00",6877.91,"17 Dec 31 6890 C STO 1.60 | 17 Dec 31 6960 C BTO 0.05",143,6845.5,"2025-12-31","16:00:00",0,"Expired",2388.5,98.25174825174825,17,1549118.48,116569,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,0,32,1,14.5,15.04,2.58,-20.91,100,-4.9
