"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-15","14:45:24.0809331",6958.93,"1 Jan 15 7015 C BTO 0.05",-0.05,1,-6.175,6944.47,"2026-01-15","16:15:02.2952235",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-15","14:33:08.7754381",6953.92,"1 Jan 15 6970 C STO 1.38",1.38,1,136.825,6944.47,"2026-01-15","16:15:02.3776198",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-15","14:33:08.7754381",6953.92,"1 Jan 15 7015 C BTO 0.03",-0.03,1,-4.175,6944.47,"2026-01-15","16:15:02.3596784",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-15","13:00:09.2458086",6964.5,"1 Jan 15 6980 C STO 1.43",1.43,1,-168.78500000000003,6974.47,"2026-01-15","13:32:04.4048562",-3.1,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-15","13:00:09.2458086",6964.5,"1 Jan 15 7025 C BTO 0.03",-0.03,1,0.2150000000000003,6975.52,"2026-01-15","13:35:01.6812778",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-14","13:00:09.4213995",6890.6,"1 Jan 14 6960 C BTO 0.12",-0.12,1,-3.7849999999999993,6903.47,"2026-01-14","13:53:02.1922188",0.1,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-14","13:00:09.4213995",6890.6,"1 Jan 14 6915 C STO 1.52",1.52,1,-159.785,6903.47,"2026-01-14","13:53:02.7347785",-3.1,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-13","14:30:10.5062052",6955.1,"1 Jan 13 6960 C STO 2.57",2.57,1,-118.17500000000004,6963.74,"2026-01-13","16:15:03.1470656",-3.74,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-13","14:30:10.5062052",6955.1,"1 Jan 13 7005 C BTO 0.07",-0.07,1,-8.175,6963.74,"2026-01-13","16:15:03.1779054",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-13","13:00:24.8465691",6954.24,"1 Jan 13 7015 C BTO 0.07",-0.07,1,-8.175,6963.74,"2026-01-13","16:15:03.1366902",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-13","13:00:24.8465691",6954.24,"1 Jan 13 6970 C STO 1.92",1.92,1,190.825,6963.74,"2026-01-13","16:15:03.2145506",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-08","14:45:13.9890254",6912.83,"1 Jan 8 6965 C BTO 0.03",-0.03,1,-4.175,6921.46,"2026-01-08","16:15:02.672559",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-08","14:45:13.9890254",6912.83,"1 Jan 8 6920 C STO 1.88",1.88,1,-203.785,6920.47,"2026-01-08","15:28:02.3667378",-3.9,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-08","14:30:09.3317173",6915.15,"1 Jan 8 6970 C BTO 0.03",-0.03,1,-4.175,6921.46,"2026-01-08","16:15:02.6925376",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-08","14:30:09.3317173",6915.15,"1 Jan 8 6925 C STO 1.43",1.43,1,-153.78500000000003,6922.93,"2026-01-08","15:31:02.6013304",-2.95,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-07","14:45:08.5942492",6945.26,"1 Jan 7 6950 C STO 1.83",1.83,1,181.825,6920.93,"2026-01-07","16:15:02.0971334",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-07","14:45:08.5942492",6945.26,"1 Jan 7 6995 C BTO 0.03",-0.03,1,-4.175,6920.93,"2026-01-07","16:15:02.2078312",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-07","14:30:28.7071409",6942.53,"1 Jan 7 6995 C BTO 0.03",-0.03,1,-4.175,6920.93,"2026-01-07","16:15:02.2424836",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-07","14:30:28.7071409",6942.53,"1 Jan 7 6950 C STO 1.53",1.53,1,151.825,6920.93,"2026-01-07","16:15:02.1512524",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-07","13:00:29.2583547",6955.96,"1 Jan 7 7010 C BTO 0.03",-0.03,1,-4.175,6920.93,"2026-01-07","16:15:02.0626372",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-07","13:00:29.2583547",6955.96,"1 Jan 7 6965 C STO 1.43",1.43,1,141.825,6920.93,"2026-01-07","16:15:02.1078303",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-05","14:45:09.2842403",6902.79,"1 Jan 5 6910 C STO 1.23",1.23,1,121.825,6902.05,"2026-01-05","16:15:01.7025804",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-05","14:45:09.2842403",6902.79,"1 Jan 5 6955 C BTO 0.03",-0.03,1,-4.175,6902.05,"2026-01-05","16:15:01.7292915",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-05","14:30:09.769484",6908.32,"1 Jan 5 6955 C BTO 0.05",-0.05,1,-6.175,6902.05,"2026-01-05","16:15:01.5829368",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-05","14:30:09.769484",6908.32,"1 Jan 5 6910 C STO 2.50",2.5,1,248.825,6902.05,"2026-01-05","16:15:01.6634891",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-05","13:00:09.0041449",6911.96,"1 Jan 5 6920 C STO 1.55",1.55,1,153.825,6902.05,"2026-01-05","16:15:01.8496771",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-05","13:00:09.0041449",6911.96,"1 Jan 5 6965 C BTO 0.05",-0.05,1,-6.175,6902.05,"2026-01-05","16:15:01.6409387",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-02","13:00:09.262475",6837.67,"1 Jan 2 6900 C BTO 0.12",-0.12,1,-3.7849999999999993,6847.67,"2026-01-02","14:13:10.1958531",0.1,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-02","13:00:09.262475",6837.67,"1 Jan 2 6855 C STO 2.17",2.17,1,-254.78500000000003,6847.67,"2026-01-02","14:13:11.0615369",-4.7,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-31","14:45:08.883931",6872.83,"1 Dec 31 6930 C BTO 0.07",-0.07,1,-8.175,6845.5,"2025-12-31","16:15:02.0795773",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-31","14:45:08.883931",6872.83,"1 Dec 31 6885 C STO 1.62",1.62,1,160.825,6845.5,"2025-12-31","16:15:02.0420844",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-31","14:30:09.3512831",6877.91,"1 Dec 31 6935 C BTO 0.10",-0.1,1,-11.175,6845.5,"2025-12-31","16:15:02.0883608",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-31","14:30:09.3512831",6877.91,"1 Dec 31 6890 C STO 1.65",1.65,1,163.825,6845.5,"2025-12-31","16:15:01.9529975",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-31","13:00:13.3345526",6875.22,"1 Dec 31 6935 C BTO 0.15",-0.15,1,-1.7850000000000001,6884.61,"2025-12-31","13:46:01.8203268",0.15,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-31","13:00:13.3345526",6875.22,"1 Dec 31 6890 C STO 1.90",1.9,1,-211.785,6884.61,"2025-12-31","13:46:02.2033705",-4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-18","14:30:34.1620169",6780.31,"1 Dec 18 6840 C BTO 0.07",-0.07,1,-8.175,6774.76,"2025-12-18","16:15:02.0134498",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-18","14:30:34.1620169",6780.31,"1 Dec 18 6795 C STO 2.02",2.02,1,-219.78500000000003,6789.04,"2025-12-18","15:36:01.9239291",-4.2,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-17","14:45:08.6038919",6735.83,"1 Dec 17 6750 C STO 1.77",1.77,1,175.825,6721.43,"2025-12-17","16:15:01.9047434",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-17","14:45:08.6038919",6735.83,"1 Dec 17 6795 C BTO 0.07",-0.07,1,-8.175,6721.43,"2025-12-17","16:15:02.0559982",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-17","14:30:08.636095",6733.36,"1 Dec 17 6795 C BTO 0.12",-0.12,1,-13.175,6721.43,"2025-12-17","16:15:01.9488008",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-17","14:30:08.636095",6733.36,"1 Dec 17 6750 C STO 2.07",2.07,1,205.82499999999996,6721.43,"2025-12-17","16:15:01.9548754",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-17","13:00:08.9293512",6746.61,"1 Dec 17 6830 C BTO 0.22",-0.22,1,-23.175,6721.43,"2025-12-17","16:15:01.9573407",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-17","13:00:08.9293512",6746.61,"1 Dec 17 6785 C STO 1.87",1.87,1,185.825,6721.43,"2025-12-17","16:15:01.8945002",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-16","14:30:08.5552347",6779.47,"1 Dec 16 6795 C STO 1.67",1.67,1,-184.785,6787.41,"2025-12-16","14:36:02.4514132",-3.5,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-16","14:30:08.5552347",6779.47,"1 Dec 16 6840 C BTO 0.07",-0.07,1,-3.7850000000000006,6787.41,"2025-12-16","14:36:02.0714647",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-16","13:00:08.5412435",6765.44,"1 Dec 16 6795 C STO 2.12",2.12,1,-239.785,6787.42,"2025-12-16","13:45:01.9636761",-4.5,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-16","13:00:08.5412435",6765.44,"1 Dec 16 6840 C BTO 0.12",-0.12,1,-3.7849999999999993,6787.42,"2025-12-16","13:45:01.5988875",0.1,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-15","14:45:08.5853154",6815.12,"1 Dec 15 6870 C BTO 0.03",-0.03,1,0.2150000000000003,6823.09,"2025-12-15","14:57:01.9568184",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-15","14:45:08.5853154",6815.12,"1 Dec 15 6825 C STO 1.53",1.53,1,-158.785,6821.28,"2025-12-15","14:56:01.9445194",-3.1,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-15","13:00:34.3098876",6814.25,"1 Dec 15 6880 C BTO 0.07",-0.07,1,-8.175,6816.51,"2025-12-15","16:15:01.3239469",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-15","13:00:34.3098876",6814.25,"1 Dec 15 6835 C STO 1.67",1.67,1,165.825,6816.51,"2025-12-15","16:15:01.3217593",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-12","14:45:10.6151343",6828.35,"1 Dec 12 6840 C STO 2.32",2.32,1,230.82499999999996,6827.41,"2025-12-12","16:15:02.928849",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-12","14:45:10.6151343",6828.35,"1 Dec 12 6885 C BTO 0.07",-0.07,1,-8.175,6827.41,"2025-12-12","16:15:02.8597107",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-12","14:30:09.1749114",6824.85,"1 Dec 12 6890 C BTO 0.10",-0.1,1,-11.175,6827.41,"2025-12-12","16:15:02.9485848",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-12","14:30:09.1749114",6824.85,"1 Dec 12 6845 C STO 1.75",1.75,1,173.825,6827.41,"2025-12-12","16:15:03.0803284",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-09","14:45:08.8972825",6844.92,"1 Dec 9 6850 C STO 2.08",2.08,1,206.825,6840.51,"2025-12-09","16:15:02.1179351",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-09","14:45:08.8972825",6844.92,"1 Dec 9 6895 C BTO 0.03",-0.03,1,-4.175,6840.51,"2025-12-09","16:15:02.1196049",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-09","14:30:23.6774763",6848.64,"1 Dec 9 6900 C BTO 0.05",-0.05,1,-6.175,6840.51,"2025-12-09","16:15:02.0789399",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-09","14:30:23.6774763",6848.64,"1 Dec 9 6855 C STO 1.40",1.4,1,138.825,6840.51,"2025-12-09","16:15:02.0742708",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-09","13:00:34.3162188",6854.14,"1 Dec 9 6865 C STO 1.47",1.47,1,145.825,6840.51,"2025-12-09","16:15:02.1644202",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-09","13:00:34.3162188",6854.14,"1 Dec 9 6910 C BTO 0.07",-0.07,1,-8.175,6840.51,"2025-12-09","16:15:02.1444007",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-08","14:30:13.4248681",6834.02,"1 Dec 8 6890 C BTO 0.10",-0.1,1,-11.175,6846.51,"2025-12-08","16:15:02.3013599",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-08","14:30:13.4248681",6834.02,"1 Dec 8 6845 C STO 1.50",1.5,1,-191.785,6847.67,"2025-12-08","16:00:02.2056741",-3.4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-05","14:45:08.9829713",6869.71,"1 Dec 5 6875 C STO 2.47",2.47,1,245.82500000000002,6870.4,"2025-12-05","16:15:01.9656683",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-05","14:45:08.9829713",6869.71,"1 Dec 5 6920 C BTO 0.07",-0.07,1,-8.175,6870.4,"2025-12-05","16:15:02.0139248",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-05","14:30:09.8014202",6871.38,"1 Dec 5 6880 C STO 1.92",1.92,1,190.825,6870.4,"2025-12-05","16:15:01.9862229",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-05","14:30:09.8014202",6871.38,"1 Dec 5 6925 C BTO 0.07",-0.07,1,-8.175,6870.4,"2025-12-05","16:15:01.9732357",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-04","14:45:09.0322304",6847.42,"1 Dec 4 6900 C BTO 0.03",-0.03,1,-4.175,6857.12,"2025-12-04","16:15:02.5242675",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-04","14:45:09.0322304",6847.42,"1 Dec 4 6855 C STO 2.33",2.33,1,19.824999999999996,6857.12,"2025-12-04","16:15:02.5936538",-2.12,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-04","14:30:24.7032395",6834.6,"1 Dec 4 6895 C BTO 0.07",-0.07,1,-3.7850000000000006,6844.02,"2025-12-04","14:35:03.320295",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-04","14:30:24.7032395",6834.6,"1 Dec 4 6850 C STO 1.67",1.67,1,-174.785,6844.02,"2025-12-04","14:35:03.7195928",-3.4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-02","13:00:08.8180692",6815.2,"1 Dec 2 6840 C STO 2.07",2.07,1,-224.785,6838.19,"2025-12-02","14:52:03.3589454",-4.3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-02","13:00:08.8180692",6815.2,"1 Dec 2 6885 C BTO 0.07",-0.07,1,-3.7850000000000006,6835.4,"2025-12-02","15:09:02.6717451",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-01","14:45:08.7420128",6816.56,"1 Dec 1 6830 C STO 1.83",1.83,1,181.825,6812.63,"2025-12-01","16:15:02.5070435",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-01","14:45:08.7420128",6816.56,"1 Dec 1 6875 C BTO 0.03",-0.03,1,-4.175,6812.63,"2025-12-01","16:15:02.3770576",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-01","14:30:10.167027",6819.55,"1 Dec 1 6835 C STO 1.68",1.68,1,166.825,6812.63,"2025-12-01","16:15:02.4018869",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-12-01","14:30:10.167027",6819.55,"1 Dec 1 6880 C BTO 0.03",-0.03,1,-4.175,6812.63,"2025-12-01","16:15:02.4576935",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-25","14:45:08.9886085",6745.49,"1 Nov 25 6800 C BTO 0.03",-0.03,1,0.2150000000000003,6757.27,"2025-11-25","15:01:03.1678021",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-25","14:45:08.9886085",6745.49,"1 Nov 25 6755 C STO 1.33",1.33,1,-143.785,6751.26,"2025-11-25","14:53:03.1324999",-2.75,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-25","14:30:09.060213",6747.38,"1 Nov 25 6755 C STO 2.15",2.15,1,-226.78500000000005,6754.98,"2025-11-25","14:58:03.1288217",-4.4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-25","14:30:09.060213",6747.38,"1 Nov 25 6800 C BTO 0.05",-0.05,1,-1.7850000000000001,6759.78,"2025-11-25","15:05:02.5190149",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-24","14:45:09.197772",6700.14,"1 Nov 24 6755 C BTO 0.07",-0.07,1,-3.7850000000000006,6706.43,"2025-11-24","15:05:02.9935667",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2025-11-24","14:45:09.197772",6700.14,"1 Nov 24 6710 C STO 1.92",1.92,1,-209.785,6706.43,"2025-11-24","15:05:03.4343116",-4,"Stop Loss"
